id	truth_id	hashtag_id
648	6705	282
649	6705	283
650	6705	284
651	6705	285
652	6707	101
653	6707	283
654	6708	103
655	6715	43
656	6722	286
657	6727	287
658	6730	87
659	6731	288
660	6731	285
661	6731	101
662	6731	289
663	6731	290
664	6731	291
665	6731	283
666	6732	292
667	6732	293
668	6732	294
669	6741	295
670	6745	101
671	6745	283
672	6745	291
673	6745	288
674	6782	296
675	6786	297
676	6788	298
677	6788	299
678	6795	273
679	6795	300
680	6795	301
681	6795	302
682	6795	303
683	6795	304
684	6795	305
685	6798	306
686	6798	217
687	6798	307
688	6798	96
689	6801	308
690	6801	309
691	6801	223
692	6801	310
693	6804	311
694	6804	312
695	6804	89
696	6804	313
697	6804	314
698	6804	315
699	6805	316
700	6806	258
701	6865	317
702	6921	318
703	6921	65
704	6921	319
705	6922	320
706	6922	321
707	6923	322
708	6923	323
709	6932	324
710	6932	325
711	6933	326
712	6935	327
713	6938	87
714	6940	87
715	6941	83
716	6941	84
717	6949	87
718	6952	87
719	6953	87
720	6955	87
721	9029	87
722	9042	87
723	9050	87
724	9055	87
725	9061	87
726	9072	87
727	9077	87
728	9084	87
729	9090	40
730	9092	87
731	9094	87
732	9101	87
733	9101	328
734	9101	329
735	9101	330
736	9101	331
737	9101	332
738	9119	333
739	9119	334
740	9158	87
741	9162	87
742	9166	87
743	9177	43
744	9194	40
745	9197	87
746	9204	335
747	9204	87
748	9231	87
749	9241	43
750	9254	43
751	9259	40
752	9269	336
753	9273	40
754	9273	337
755	9276	338
756	9291	338
757	9295	338
758	9298	338
759	9309	339
760	9310	340
761	9309	341
762	9310	342
763	9328	343
764	9338	344
765	9347	336
766	9348	87
767	9351	345
768	9351	336
769	9354	336
770	9359	346
771	9362	336
772	9363	347
773	9366	336
774	9370	336
775	9372	348
776	9373	336
777	9372	349
778	9383	350
779	9383	351
780	9383	340
781	9392	140
782	9395	352
783	9403	353
784	9411	101
785	9431	354
786	9466	355
787	9490	356
792	9554	359
794	9628	258
795	9634	360
797	9634	362
799	9634	364
801	9660	333
802	9685	366
803	9690	101
804	9744	87
805	9772	40
807	9791	368
1236	15857	581
1237	15871	582
1263	15915	593
1264	15915	594
1265	15916	595
1266	15917	157
1267	15917	596
1268	15923	597
1269	15926	597
1270	15929	42
1273	15944	600
1277	15952	23
1278	15952	24
1370	16179	618
1371	16200	619
1373	16258	620
1374	16268	232
1382	16491	256
1383	16491	622
1384	16493	256
1386	16497	624
1388	16498	625
1390	16498	623
1395	16502	315
1397	16504	627
1398	16504	623
1400	16505	629
1401	16505	623
1404	16762	570
1405	16763	570
1406	16764	570
1407	16765	570
1408	16766	570
1409	16767	570
1410	16768	570
1411	16770	183
1412	16771	570
1413	16772	570
1414	16773	570
1415	16775	570
1416	16776	570
1421	16781	570
1422	16782	570
1425	16785	570
1441	16805	570
1442	16806	570
1443	16807	570
1444	16808	570
1445	16809	570
1446	16810	570
1447	16811	570
1448	16812	570
1449	16813	570
1450	16814	570
1451	16815	570
1452	16816	570
1453	16817	570
1454	16818	570
1455	16819	570
1456	16821	570
