NSID,W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W6NEETAct,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8DACTIVITY,W8QDEB2,W8QMAFI,W8DINCW
NS17941K,-91,-91,10,1,-1,2,1,2,1,2,20,3,3,6,8,0,1,3,0,0,2,4,0,4,4,1,3,2,2,2,3,35,1,2,2,-91,2,2,2,5,15,-91,2,1,2,1,1,-91,1,4,4,2,11,-91,0,1,1,1,2,1,1,1000,2,241.85
NS19868W,26000,30149.6,1,1,2,1,1,2,1,16,4,1,2,2,1,0,0,2,0,0,2,2,0,5,1,3,5,2,2,2,3,48,0,2,2,2,2,2,2,5,19,-91,1,2,2,2,2,2,9,4,4,2,9,-91,0,1,1,1,1,2,1,-1,1,241.82
NS13971L,-91,-91,10,2,2,0,1,4,1,3,-98,-98,3,6,-98,0,0,1,0,0,1,1,1,7,1,1,5,2,-1,2,3,44,2,2,2,4,2,2,2,5,15,-91,1,1,2,1,2,2,9,4,4,2,6,-91,1,1,1,1,2,4,2,7000,3,241.8
NS21636A,-91,-99,10,1,2,0,1,1,1,2,-99,1,3,6,1,0,0,1,0,1,2,1,0,-99,8,1,5,2,1,2,3,42,1,2,1,3,2,2,2,5,18,-91,2,1,2,2,1,-91,1,4,4,2,14,-91,0,1,1,1,1,5,1,-1,1,241.78
NS25934M,10200.84,23889.84,1,1,2,1,1,4,1,15,15,1,1,1,1,0,0,2,1,0,2,3,0,5,1,4,-91,2,-92,2,2,33,0,2,-1,2,1,2,2,5,13,-91,2,2,2,1,2,2,9,4,4,2,13,-91,3,1,1,1,1,4,1,-1,1,241.69
NS22525Y,-91,-91,6,1,2,1,1,5,1,5,20,3,3,5,8,0,0,2,2,0,2,4,0,4,5,1,2,1,2,1,1,31,3,1,4,-91,2,2,2,5,18,-91,2,2,2,2,2,2,3,4,1,2,14,-91,0,1,4,2,1,4,5,-8,3,241.66
NS18285Y,-91,-91,10,1,2,1,1,2,1,20,20,3,3,6,8,0,1,1,1,0,2,3,0,4,4,2,3,2,2,2,3,40,0,2,2,-91,2,2,2,5,11,-91,2,1,2,2,1,-91,1,4,4,2,11,-91,0,1,1,1,2,5,1,1000,1,241.63
NS14319K,20400,20400,2,1,2,1,1,1,1,2,7,3,2,2,3,0,1,1,0,0,2,2,0,2,8,1,2,2,2,2,3,41,0,-1,1,2,1,2,1,5,13,-91,2,1,2,2,2,2,9,4,4,2,14,1,1,1,4,2,1,5,5,-1,2,241.62
NS24469V,7176,19364.28,2,1,2,2,1,2,1,16,20,1,2,2,1,0,2,1,0,0,3,3,0,6,1,3,3,2,1,2,3,38,1,2,2,2,1,2,2,5,13,-91,2,1,2,2,2,1,9,4,4,2,11,-91,0,1,1,1,1,5,1,-1,2,241.55
NS14706W,4680,4680,2,1,2,1,1,2,2,20,-98,-98,2,2,-98,0,1,1,0,0,4,2,1,6,1,2,2,2,2,2,2,32,0,2,1,5,2,2,2,5,18,-91,2,1,2,2,1,-91,1,4,4,2,15,-91,0,1,1,1,1,4,1,-1,2,241.53
NS15813K,19110,36010,2,1,2,0,1,2,1,6,20,1,2,2,1,0,0,1,0,0,2,1,0,6,7,1,2,2,2,2,3,37,0,-1,1,-91,2,2,1,5,18,-91,2,2,2,2,2,2,9,4,4,2,10,-91,0,1,1,1,1,7,1,10000,2,241.49
NS22796Q,-91,-92,10,1,2,0,1,2,1,8,15,1,3,6,1,0,0,1,1,0,2,1,0,7,1,4,5,2,1,2,3,36,0,2,1,3,1,2,2,5,11,-91,2,2,2,1,2,2,9,4,4,2,12,-91,1,1,2,1,1,7,3,-1,2,241.46
NS13867W,-999,-99,2,1,2,-99,1,5,1,-99,20,2,3,6,2,0,1,2,0,0,2,3,0,-99,4,1,2,1,2,2,-99,31,0,2,2,-91,2,2,2,5,5,-91,1,1,2,2,2,2,3,4,1,2,10,-91,8,2,9,2,2,4,13,10000,3,241.44
NS14539D,14430,19734,1,1,2,0,1,1,1,20,20,1,2,2,1,0,0,1,0,0,2,1,0,5,3,1,5,2,2,2,3,38,0,2,2,6,2,2,2,5,20,-91,2,1,2,2,1,-91,1,4,4,2,14,-91,0,1,1,1,1,5,1,-1,1,241.38
NS22970Z,-91,4168.32,10,2,2,1,1,6,1,15,20,2,3,6,2,0,1,1,0,0,2,2,0,2,4,1,5,2,2,1,3,45,2,2,3,-91,2,2,2,5,19,-91,2,1,2,2,2,2,3,4,1,2,12,-91,1,2,4,2,1,7,5,-1,2,241.36
NS11124H,-91,-91,9,2,1,0,1,4,1,20,20,3,3,8,8,0,0,1,0,0,2,1,0,4,3,2,2,2,2,1,3,36,2,2,2,6,2,2,1,5,11,-91,1,1,2,2,1,-91,1,4,4,-94,16,-91,8,1,5,2,2,4,6,6000,3,241.34
NS17045V,33600,33600,1,1,2,2,1,2,1,2,-98,-98,1,1,-98,0,0,2,0,0,6,2,1,-99,5,2,1,-1,2,2,3,39,1,2,1,-91,2,2,2,5,16,-91,2,1,2,1,1,-91,1,4,4,2,14,-91,0,1,1,1,1,2,1,-1,2,241.23
NS12215M,-91,-92,10,1,2,1,1,2,1,20,20,2,3,6,2,0,1,1,0,0,2,2,0,5,5,1,5,2,2,2,3,40,12,1,4,-91,2,2,1,5,17,-91,2,1,2,2,1,-91,1,4,4,2,7,-91,3,1,1,1,2,7,1,-1,2,241.19
NS18110D,-91,-999,10,1,2,4,1,2,1,20,20,1,3,6,1,1,2,3,0,0,2,6,0,4,5,1,2,2,2,1,3,23,4,1,3,-91,2,2,2,5,9,-91,2,1,2,2,1,-91,1,4,4,2,9,-91,1,1,1,1,2,5,1,-1,2,241.19
NS23227P,-91,8840,10,1,2,1,1,2,1,20,20,1,3,6,1,0,1,1,0,0,2,2,0,5,3,1,3,2,2,2,3,37,1,2,1,-91,2,2,2,5,9,-91,2,2,2,1,1,-91,1,4,4,2,19,-91,1,1,1,1,2,5,1,-1,1,241.19
NS25496W,-91,-999,10,1,2,3,1,2,1,20,7,1,3,6,1,0,2,2,0,0,2,4,0,4,5,1,3,2,2,2,3,33,0,2,1,-91,2,2,2,5,15,-91,2,1,2,2,1,-91,1,4,4,2,17,-91,-1,2,1,1,2,2,1,-1,-1,241.19
NS11837W,-92,-92,2,1,2,1,1,4,2,15,-98,-98,2,2,-98,0,1,1,0,0,5,2,1,7,1,3,5,2,2,1,3,34,0,2,1,3,-92,1,2,2,8,-91,1,2,2,1,2,2,9,4,4,2,12,-91,3,1,1,1,1,4,1,850,2,241.11
NS19244P,-91,-91,10,1,1,0,1,4,2,14,-98,-98,3,6,-98,0,0,1,1,0,1,2,1,2,2,1,5,2,2,2,3,41,0,2,1,4,2,2,2,5,15,-91,2,1,2,2,2,1,3,4,1,2,12,-91,5,1,1,1,2,4,1,-1,2,241.06
NS11632L,-91,-91,10,1,2,3,1,4,1,20,-99,-99,3,6,-99,1,2,1,1,0,3,5,0,7,1,1,3,2,-1,2,3,38,0,2,1,3,2,2,2,2,6,-91,2,2,2,2,2,2,9,4,4,1,12,2,0,1,9,2,2,5,13,-1,3,241.05
NS23386H,8611.2,13135.2,1,1,1,1,1,2,1,20,19,1,2,2,1,0,1,1,0,0,1,2,0,5,2,2,3,2,1,2,3,39,0,2,1,3,1,2,2,5,13,-91,1,1,2,1,1,-91,1,4,4,2,14,-91,0,1,1,1,1,7,1,-1,2,241.04
NS22959V,-1,-1,3,1,2,4,1,2,1,20,14,1,3,6,1,0,3,2,0,0,2,5,0,4,4,2,2,2,2,2,3,42,2,2,3,-91,2,2,2,5,15,-91,2,1,2,2,2,2,9,4,4,2,6,1,0,2,2,1,1,5,3,-1,1,240.98
NS15779G,4004,4004,2,1,2,0,1,2,1,9,-98,-98,2,2,-98,0,0,2,0,0,5,2,1,7,6,2,3,2,1,2,3,38,0,2,2,2,2,2,2,5,15,-91,2,1,2,2,1,-91,1,4,4,2,17,-91,2,1,1,1,1,7,1,-1,2,240.94
